rule,rule_time
gitlab.security_code_scan.SCS0019-1,0.0
gitlab.security_code_scan.SCS0026-1.SCS0031-1,0.0
gitlab.security_code_scan.SCS0027-1,0.0
gitlab.security_code_scan.SCS0028-1,0.0
gitlab.security_code_scan.SCS0029-1,0.0
gitlab.security_code_scan.SCS0032-1.SCS0033-1.SCS0034-1,0.0
go.aws-lambda.security.database-sqli.database-sqli,0.0
go.aws-lambda.security.tainted-sql-string.tainted-sql-string,0.0
go.gin.command-injection.gin-command-injection.gin-command-injection-taint,0.0
go.gin.nosql.gin-mongo-nosql-taint.gin-mongo-nosqli-taint,0.0
go.gin.path-traversal.gin-path-traversal-taint.gin-path-traversal-taint,0.0
go.gin.ssrf.gin-tainted-url-host.gin-tainted-url-host,0.0
go.gin.xss.gin-formatted-template-string-taint.formatted-template-string-taint,0.0
go.gorilla.command-injection.gorilla-command-injection-taint.gorilla-command-injection-taint,0.0
go.gorilla.nosql.gorilla-mongo-nosqli-taint.gorilla-mongo-nosqli-taint,0.0
go.gorilla.path-traversal.gorilla-path-traversal.gorilla-path-traversal-taint,0.0
go.gorilla.security.audit.session-cookie-missing-httponly.session-cookie-missing-httponly,0.0
go.gorilla.security.audit.session-cookie-missing-secure.session-cookie-missing-secure,0.0
go.gorilla.security.audit.websocket-missing-origin-check.websocket-missing-origin-check,0.0
go.gorilla.sql.gorilla-go-vanillasql-format-string-sqli-taint-med-conf.gorilla-go-vanillasql-format-string-sqli-taint-med-conf,0.0
go.gorilla.sql.gorilla-go-vanillasql-format-string-sqli-taint.gorilla-go-vanillasql-format-string-sqli-taint,0.0
go.gorilla.sql.gorilla-pg-sqli-taint.gorilla-pg-sqli-taint,0.0
go.gorilla.sql.gorilla-pgx-slqi-taint.gorilla-pgx-sqli-taint,0.0
go.gorilla.ssrf.gorilla-tainted-url-host.gorilla-tainted-url-host,0.0
go.gorilla.xss.gorilla-formatted-template-string-taint.formatted-template-string-taint,0.0
go.gorilla.xss.gorilla-no-direct-write-to-responsewriter-traint.gorilla-no-direct-write-to-responsewriter-taint,0.0
go.gorilla.xxe.gorilla-libxml2-xxe-taint.libxml2-xxe-taint,0.0
go.grpc.command-injection.grpc-command-injection.grpc-http-command-injection-taint,0.0
go.grpc.nosql.grpc-mongo-nosqli-taint.grpc-mongo-nosqli-taint,0.0
go.grpc.path-traversal.grpc-path-traversal-taint.grpc-path-traversal-taint,0.0
go.grpc.security.grpc-client-insecure-connection.grpc-client-insecure-connection,0.0
go.grpc.security.grpc-server-insecure-connection.grpc-server-insecure-connection,0.0
go.grpc.sql.grpc-pg-sqli-taint-med-conf.grpc-pg-sqli-taint-med-conf,0.0
go.grpc.sql.grpc-pg-sqli-taint.grpc-pg-sqli-taint,0.0
go.grpc.sql.grpc-pgx-sqli-taint-med-conf.grpc-pgx-sqli-taint-med-conf,0.0
go.grpc.sql.grpc-pgx-sqli-taint.grpc-pgx-sqli-taint,0.0
go.grpc.sql.grpc-vanillasql-format-string-sqli-taint-med-conf.grpc-vanillasql-format-string-sqli-taint-med-conf,0.0
go.grpc.sql.grpc-vanillasql-format-string-sqli-taint.grpc-vanillasql-format-string-sqli-taint,0.0
go.grpc.ssrf.grpc-tainted-url-host.grpc-tainted-url-host,0.0
